Date,Day_of_Week,Month,Year,Open,High,Low,Close,Volume,Market Cap,Lagged_Close1,Lagged_Close2,Lagged_Close3,Lagged_Close5,Lagged_Close10,Lagged_Market_Cap,Lagged_Volume,Lagged_VWAP,Lagged_Open_Close_Range,Lagged_High_Low_Range,Lagged_SMA_10,Lagged_SMA_50,Lagged_SMA_diff,Bullish,Bearish,Bullish_Signal,Bearish_Signal,Lagged_RSI,Lagged_MACD,Lagged_Signal_Line,Lagged_MACD_Cross_Below,Lagged_MACD_Cross_Above,Lagged_Support,Lagged_Resistance,Lagged_Upper_Band,Lagged_Middle_Band,Lagged_Lower_Band,Lagged_Band_Width,Lagged_Bollinger_Indicator
2010-07-17,5,7,2010,0.05,0.05,0.05,0.05,80.0,170803.15248842558,0.05,0.05,0.05,0.05,0.05,170803.15248842558,80.0,0.05,0.0,0.0,0.06446,0.064292,-0.0011219999999999,False,False,False,False,57.90309769658459,0.0,0.0,False,False,0.05,0.05,0.0836620950494803,0.063155,0.0426479049505196,0.0410141900989606,-0.0525427905512783
2010-07-18,6,7,2010,0.0858,0.0858,0.0858,0.0858,80.0,294746.5949999991,0.05,0.05,0.05,0.05,0.05,170803.15248842558,80.0,0.05,0.0,0.0,0.06446,0.064292,-0.0011219999999999,False,False,False,False,57.90309769658459,0.0,0.0,False,False,0.05,0.05,0.0836620950494803,0.063155,0.0426479049505196,0.0410141900989606,-0.0525427905512783
2010-07-19,0,7,2010,0.0808,0.0808,0.0808,0.0808,570.0,277570.2199999991,0.0858,0.05,0.05,0.05,0.05,294746.5949999991,80.0,0.0858,0.0,0.0,0.06446,0.064292,-0.0011219999999999,False,False,False,False,57.90309769658459,0.0028558404558404,0.000571168091168,False,True,0.05,0.0858,0.0836620950494803,0.063155,0.0426479049505196,0.0410141900989606,-0.0525427905512783
2010-07-20,1,7,2010,0.0747,0.0747,0.0747,0.0747,260.0,256710.178548176,0.0808,0.0858,0.05,0.05,0.05,277570.2199999991,570.0,0.0808,0.0,0.0,0.06446,0.064292,-0.0011219999999999,False,False,False,False,57.90309769658459,0.0046619167052215,0.0013893178139787,False,False,0.05,0.0858,0.0836620950494803,0.063155,0.0426479049505196,0.0410141900989606,-0.0525427905512783
2010-07-21,2,7,2010,0.0792,0.0792,0.0792,0.0792,580.0,274308.37500000006,0.0747,0.0808,0.0858,0.05,0.05,256710.178548176,260.0,0.0747,0.0,0.0,0.06446,0.064292,-0.0011219999999999,False,False,False,False,57.90309769658459,0.0055371967672127,0.0022188936046255,False,False,0.05,0.0858,0.0836620950494803,0.063155,0.0426479049505196,0.0410141900989606,-0.0525427905512783
2010-07-22,3,7,2010,0.0505,0.0505,0.0505,0.0505,2160.0,174906.22395833384,0.0792,0.0747,0.0808,0.05,0.05,274308.37500000006,580.0,0.0792,0.0,0.0,0.06446,0.064292,-0.0011219999999999,False,False,False,False,57.90309769658459,0.0065188299010552,0.0030788808639115,False,False,0.05,0.0858,0.0836620950494803,0.063155,0.0426479049505196,0.0410141900989606,-0.0525427905512783
2010-07-23,4,7,2010,0.0626,0.0626,0.0626,0.0626,2400.0,216988.7262442122,0.0505,0.0792,0.0747,0.0858,0.05,174906.22395833384,2160.0,0.0505,0.0,0.0,0.06446,0.064292,-0.0011219999999999,False,False,False,False,57.90309769658459,0.0049241683403786,0.0034479383592049,False,False,0.05,0.0858,0.0836620950494803,0.063155,0.0426479049505196,0.0410141900989606,-0.0525427905512783
2010-07-24,5,7,2010,0.0545,0.0545,0.0545,0.0545,500.0,190320.8125,0.0626,0.0505,0.0792,0.0808,0.05,216988.7262442122,2400.0,0.0626,0.0,0.0,0.06446,0.064292,-0.0011219999999999,False,False,False,False,57.90309769658459,0.004583915911468,0.0036751338696575,False,False,0.05,0.0858,0.0836620950494803,0.063155,0.0426479049505196,0.0410141900989606,-0.0525427905512783
2010-07-25,6,7,2010,0.0505,0.0505,0.0505,0.0505,1550.0,176352.3125,0.0545,0.0626,0.0505,0.0747,0.05,190320.8125,500.0,0.0545,0.0,0.0,0.06446,0.064292,-0.0011219999999999,False,False,False,False,57.90309769658459,0.0036189441690284,0.0036638959295317,True,False,0.05,0.0858,0.0836620950494803,0.063155,0.0426479049505196,0.0410141900989606,-0.0525427905512783
2010-07-26,0,7,2010,0.056,0.056,0.056,0.056,880.0,196311.3444444456,0.0505,0.0545,0.0626,0.0792,0.05,176352.3125,1550.0,0.0505,0.0,0.0,0.06446,0.064292,-0.0011219999999999,False,False,False,False,57.90309769658459,0.0025025823290085,0.0034316332094271,False,False,0.05,0.0858,0.0836620950494803,0.063155,0.0426479049505196,0.0410141900989606,-0.0525427905512783
